time(s),F-thrust(N)
0,0.20667136
0.0017,1.604845544
0.0034,3.884477364
0.0051,6.468060095
0.0068,10.20665628
0.0085,14.61394447
0.0102,19.78110993
0.0119,25.2522263
0.0136,29.53793412
0.0153,32.09112176
0.017,32.91178922
0.0187,31.84796103
0.0204,28.96042739
0.0221,24.40116375
0.0238,19.23399829
0.0255,14.70512974
0.0272,11.27048446
0.0289,8.869272279
0.0306,7.501493187
0.0323,6.802406095
0.034,6.772011004
0.0357,7.379912823
0.0374,8.626111552
0.0391,10.41942192
0.0408,12.30391756
0.0425,13.88446228
0.0442,14.97868556
0.0459,15.61698247
0.0476,15.76895792
0.0493,15.5257972
0.051,14.8571052
0.0527,14.03643774
0.0544,12.97260956
0.0561,12.06075683
0.0578,11.27048446
0.0595,10.87534828
0.0612,10.63218755
0.0629,10.72337283
0.0646,10.84495319
0.0663,11.02732374
0.068,11.20969428
0.0697,11.39206483
0.0714,11.42245992
0.0731,11.30087955
0.0748,11.27048446
0.0765,11.20969428
0.0782,11.1489041
0.0799,11.11850901
0.0816,11.17929919
0.0833,11.17929919
0.085,11.17929919
0.0867,11.17929919
0.0884,11.17929919
0.0901,11.1489041
0.0918,11.1489041
0.0935,11.11850901
0.0952,11.08811392
0.0969,10.99692865
0.0986,10.96653355
0.1003,10.84495319
0.102,10.75376792
0.1037,10.69297774
0.1054,10.51060719
0.1071,10.38902683
0.1088,10.17626119
0.1105,10.08507592
0.1122,9.902705371
0.1139,9.750729916
0.1156,9.629149553
0.1173,9.53796428
0.119,9.446779007
0.1207,9.385988825
0.1224,9.325198643
0.1241,9.203618279
0.1258,9.112433007
0.1275,9.021247734
0.1292,8.930062461
0.1309,8.808482097
0.1326,8.717296824
0.1343,8.656506642
0.136,8.56532137
0.1377,8.443741006
0.1394,8.382950824
0.1411,8.291765551
0.1428,8.230975369
0.1445,8.170185187
0.1462,8.109395005
0.1479,8.018209733
0.1496,7.92702446
0.1513,7.805444096
0.153,7.683863732
0.1547,7.531888278
0.1564,7.440703005
0.1581,7.319122641
0.1598,7.227937368
0.1615,7.167147186
0.1632,7.136752095
0.1649,7.075961913
0.1666,7.015171732
0.1683,6.984776641
0.17,6.893591368
0.1717,6.832801186
0.1734,6.741615913
0.1751,6.65043064
0.1768,6.498455185
0.1785,6.346479731
0.1802,6.255294458
0.1819,6.042528821
0.1836,5.920948458
0.1853,5.799368094
0.187,5.708182821
0.1887,5.647392639
0.1904,5.556207366
0.1921,5.556207366
0.1938,5.495417184
0.1955,5.465022093
0.1972,5.465022093
0.1989,5.404231911
0.2006,5.313046639
0.2023,5.252256457
0.204,5.161071184
0.2057,5.100281002
0.2074,5.069885911
0.2091,4.978700638
0.2108,4.857120275
0.2125,4.765935002
0.2142,4.70514482
0.2159,4.583564456
0.2176,4.492379183
0.2193,4.431589001
0.221,4.370798819
0.2227,4.249218456
0.2244,4.188428274
0.2261,4.127638092
0.2278,4.06684791
0.2295,3.945267546
0.2312,3.884477364
0.2329,3.823687182
0.2346,3.793292091
0.2363,3.73250191
0.238,3.702106819
0.2397,3.641316637
0.2414,3.580526455
0.2431,3.550131364
0.2448,3.519736273
0.2465,3.458946091
0.2482,3.428551
0.2499,3.398155909
0.2516,3.276575545
0.2533,3.185390273
0.255,3.124600091
0.2567,3.063809909
0.2584,2.972624636
0.2601,2.911834454
0.2618,2.851044272
0.2635,2.759858999
0.2652,2.729463908
0.2669,2.638278636
0.2686,2.577488454
0.2703,2.547093363
0.272,2.486303181
0.2737,2.425512999
0.2754,2.364722817
0.2771,2.334327726
0.2788,2.243142453
0.2805,2.182352271
0.2822,2.15195718
0.2839,2.12156209
0.2856,2.060771908
0.2873,2.030376817
0.289,2.030376817
0.2907,1.999981726
0.2924,1.969586635
0.2941,1.939191544
0.2958,1.908796453
0.2975,1.878401362
0.2992,1.81761118
0.3009,1.787216089
0.3026,1.726425907
0.3043,1.726425907
0.306,1.696030816
0.3077,1.635240634
0.3094,1.604845544
0.3111,1.544055362
0.3128,1.513660271
0.3145,1.48326518
0.3162,1.452870089
0.3179,1.422474998
0.3196,1.361684816
0.3213,1.331289725
0.323,1.270499543
0.3247,1.240104452
0.3264,1.17931427
0.3281,1.148919179
0.3298,1.118524088
0.3315,1.088128997
0.3332,1.057733907
0.3349,1.057733907
0.3366,0.996943725
0.3383,0.966548634
0.34,0.936153543
0.3417,0.875363361
0.3434,0.875363361
0.3451,0.84496827
0.3468,0.814573179
0.3485,0.784178088
0.3502,0.753782997
0.3519,0.753782997
0.3536,0.723387906
0.3553,0.692992815
0.357,0.692992815
0.3587,0.662597724
0.3604,0.601807542
0.3621,0.601807542
0.3638,0.601807542
0.3655,0.571412451
0.3672,0.54101736
0.3689,0.51062227
0.3706,0.480227179
0.3723,0.480227179
0.374,0.419436997
0.3757,0.419436997
0.3774,0.389041906
0.3791,0.328251724
0.3808,0.297856633
0.3825,0.267461542
0.3842,0.237066451
0.3859,0.20667136
0.3876,0.20667136
0.3893,0.176276269
0.391,0.115486087
0.3927,0.085090996
0.3944,0.054695905
0.3961,0.024300814
0.3978,0.024300814
